Outlet Name	Street	District	City	Province	Địa chỉ	Google Maps Link
QUÁN VƯỢNG BÉO	4/241 Lạch Tray	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	4/241 Lạch Tray Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+V%C6%AF%E1%BB%A2NG+B%C3%89O+4%2F241+L%E1%BA%A1ch+Tray+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
VƯỜN BIA NHƯ Ý	271 Quán Nam	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	271 Quán Nam Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=V%C6%AF%E1%BB%9CN+BIA+NH%C6%AF+%C3%9D+271+Qu%C3%A1n+Nam+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
VUA BIA HOÀNG GIA 86	Ngọ Dương	Phường An Phong	Thành Phố Hải Phòng	Hải Phòng	Ngọ Dương Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=VUA+BIA+HO%C3%80NG+GIA+86+Ng%E1%BB%8D+D%C6%B0%C6%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
TÙNG LÂM QUÁN	Số 24 Trần Phú	Phường Ngô Quyền	Thành Phố Hải Phòng	Hải Phòng	Số 24 Trần Phú Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=T%C3%99NG+L%C3%82M+QU%C3%81N+S%E1%BB%91+24+Tr%E1%BA%A7n+Ph%C3%BA+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
ĐỒNG CHÍ	18 Vũ Trọng Khánh	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	18 Vũ Trọng Khánh Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%92NG+CH%C3%8D+18+V%C5%A9+Tr%E1%BB%8Dng+Kh%C3%A1nh+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
8X QUÁN	231 Nguyễn Công Hòa	Phường An Biên	Thành Phố Hải Phòng	Hải Phòng	231 Nguyễn Công Hòa Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=8X+QU%C3%81N+231+Nguy%E1%BB%85n+C%C3%B4ng+H%C3%B2a+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
HÙNG BIA CỎ	Số 24 Võ Nguyên Giáp	Phường An Biên	Thành Phố Hải Phòng	Hải Phòng	Số 24 Võ Nguyên Giáp Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=H%C3%99NG+BIA+C%E1%BB%8E+S%E1%BB%91+24+V%C3%B5+Nguy%C3%AAn+Gi%C3%A1p+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
TRANG BÉO QUÁN	135 Quán Trữ	Phường Kiến An	Thành Phố Hải Phòng	Hải Phòng	135 Quán Trữ Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=TRANG+B%C3%89O+QU%C3%81N+135+Qu%C3%A1n+Tr%E1%BB%AF+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
PHỐ NHẬU	Hồ Rế	Phường An Dương	Thành Phố Hải Phòng	Hải Phòng	Hồ Rế Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=PH%E1%BB%90+NH%E1%BA%ACU+H%E1%BB%93+R%E1%BA%BF+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
BIA ĐẦU VÒI	Lê Hồng Phong	Phường Hải An	Thành Phố Hải Phòng	Hải Phòng	Lê Hồng Phong Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BIA+%C4%90%E1%BA%A6U+V%C3%92I+L%C3%AA+H%E1%BB%93ng+Phong+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
